img_name,defect
img_07417,ST3
img_04578,ST1
img_10744,W
img_11378,W
img_08499,ST5
img_00184,BG2
img_07926,ST3
img_10245,W
img_05354,ST2
img_07395,ST3
img_06445,ST3
img_13682,W
img_11018,W
img_02194,PND1
img_11898,W
img_09125,ST6
img_10963,W
img_08663,ST5
img_07718,ST3
img_04931,ST1
img_11085,W
img_03297,ST1
img_03758,ST1
img_04523,ST1
img_02715,PND2
img_02874,PND4
img_00716,ND1
img_11274,W
img_02507,PND1
img_10694,W
img_04109,ST1
img_05501,ST2
img_08446,ST5
img_07715,ST3
img_03552,ST1
img_11558,W
img_05731,ST2
img_03855,ST1
img_03941,ST1
img_09305,ST6
img_01474,ND5
img_04719,ST1
img_08245,ST4
img_04462,ST1
img_03507,ST1
img_08817,ST6
img_08344,ST5
img_07535,ST3
img_12332,W
img_08743,ST6
img_07664,ST3
img_13279,W
img_06244,ST3
img_06333,ST3
img_04490,ST1
img_02856,PND3
img_11049,W
img_13086,W
img_03545,ST1
img_05645,ST2
img_02030,PND1
img_10348,W
img_02655,PND1
img_08422,ST5
img_01265,ND2
img_05951,ST2
img_09121,ST6
img_11145,W
img_02417,PND1
img_10059,W
img_01619,ND6
img_13197,W
img_00296,BG2
img_03825,ST1
img_00450,ND1
img_03511,ST1
img_00848,ND1
img_01520,ND5
img_13680,W
img_09147,ST6
img_05485,ST2
img_12217,W
img_10122,W
img_13487,W
img_04198,ST1
img_06770,ST3
img_06892,ST3
img_13071,W
img_01051,ND1
img_00282,BG2
img_11149,W
img_12850,W
img_12973,W
img_13590,W
img_00721,ND1
img_05147,ST1
img_07091,ST3
img_10551,W
img_09660,ST6
img_12319,W
img_12312,W
img_10422,W
img_13539,W
img_08495,ST5
img_07909,ST3
img_11210,W
img_08117,ST4
img_12599,W
img_07118,ST3
img_13315,W
img_04265,ST1
img_06748,ST3
img_06397,ST3
img_10954,W
img_01949,PND1
img_10569,W
img_10909,W
img_09662,ST6
img_03808,ST1
img_01756,ND7
img_04993,ST1
img_13609,W
img_01672,ND6
img_05326,ST2
img_01411,ND5
img_08688,ST6
img_10675,W
img_13247,W
img_05634,ST2
img_07786,ST3
img_01799,PND1
img_09192,ST6
img_04726,ST1
img_10457,W
img_01894,PND1
img_06227,ST3
img_09518,ST6
img_09943,W
img_02309,PND1
img_10371,W
img_06864,ST3
img_09568,ST6
img_02739,PND2
img_10075,W
img_02959,PND5
img_09632,ST6
img_10716,W
img_09483,ST6
img_02584,PND1
img_07808,ST3
img_13500,W
img_12996,W
img_09120,ST6
img_03410,ST1
img_11225,W
img_02664,PND1
img_10851,W
img_11879,W
img_06206,ST3
img_03585,ST1
img_10022,W
img_04202,ST1
img_12958,W
img_12014,W
img_05296,ST2
img_00412,ND1
img_03968,ST1
img_07755,ST3
img_13308,W
img_04854,ST1
img_04596,ST1
img_12120,W
img_00703,ND1
img_00194,BG2
img_10151,W
img_09900,W
img_01825,PND1
img_10210,W
img_10519,W
img_08249,ST4
img_11759,W
img_13095,W
img_07903,ST3
img_03053,PND5
img_13659,W
img_00405,ND1
img_02675,PND2
img_07942,ST3
img_07571,ST3
img_11301,W
img_07806,ST3
img_04654,ST1
img_13304,W
img_07900,ST3
img_01056,ND1
img_06347,ST3
img_13512,W
img_01294,ND2
img_07009,ST3
img_07083,ST3
img_08191,ST4
img_09589,ST6
img_02315,PND1
img_07608,ST3
img_00446,ND1
img_02912,PND5
img_06410,ST3
img_04831,ST1
img_03491,ST1
img_00962,ND1
img_07832,ST3
img_11599,W
img_11451,W
img_03454,ST1
img_12349,W
img_05660,ST2
img_09281,ST6
img_11237,W
img_04798,ST1
img_02930,PND5
img_02560,PND1
img_01199,ND2
img_09609,ST6
img_05205,ST2
img_05344,ST2
img_05429,ST2
img_03845,ST1
img_08759,ST6
img_07468,ST3
img_02851,PND3
img_08633,ST5
img_12918,W
img_02963,PND5
img_12431,W
img_11033,W
img_05363,ST2
img_02669,PND2
img_07848,ST3
img_10126,W
img_13496,W
img_01718,ND7
img_00752,ND1
img_02049,PND1
img_09430,ST6
img_01179,ND2
img_01706,ND7
img_05193,ST2
img_06506,ST3
img_11196,W
img_03028,PND5
img_08521,ST5
img_11812,W
img_06898,ST3
img_10588,W
img_02896,PND4
img_05420,ST2
img_02899,PND4
img_04132,ST1
img_02864,PND3
img_10283,W
img_08895,ST6
img_08184,ST4
img_05665,ST2
img_10818,W
img_00120,BG2
img_09318,ST6
img_04584,ST1
img_00600,ND1
img_07077,ST3
img_13312,W
img_03783,ST1
img_04973,ST1
img_07679,ST3
img_03343,ST1
img_10143,W
img_12168,W
